100
{52,5,6,7,9,11,12,13,14,15,16,17,19} 87 2 96 4 80 37 78 55 86 10 41 8 35 20 23 59 57 51 92 28 65 83 34 93 31 45 24 38 60 18            
{6,4,5,7,8,9,10,11,13,15,16,17,18} 61 100 66 86 64 88 43 31 14 67 79 1 49 90 77 38 12 63 58 60 22 3 41 99 48 83 33 59            
{59,1,4,5,6,7,8,9,10,11,12,13,14} 78 48 47 41 38 74 2 71 96 43 73 89 39 49 95 98 34 77 57 75 19 90 56 30 15 64 92 55            
{81,2,3,5,6,7,8,9,11,13,14,15,16} 78 12 22 56 87 100 10 58 64 96 33 1 73 60 91 53 69 75 98 66 23            
{60,1,2,3,4,8,9,10,11,12,13,15,17} 75 46 48 67 7 28 18 6 14 80 16 79 77 65 97 96 62 89 90 69 32 21 86 61 29 94            
{58,1,3,4,8,9,11,12,13,14,15,16,17} 2 87 92 5 35 63 7 51 79 33 57 27 71 37 83 28 88 67 22 90 91 31 86 10 94            
{33,1,2,3,4,8,9,10,11,14,15,16,17} 91 72 63 54 27 13 76 44 49 97 74 12 88 95 68 5 84 53 48 60 6 31 100 37            
{78,2,3,4,5,6,7,9,11,12,13,14,15} 51 17 39 38 1 34 76 95 45 79 67 28 19 10            
{81,1,2,3,4,5,6,7,8,10,11,12,13} 53 19 45 70 40 55 56 79 82 86 41 76 61 22 84 42 92 28            
{52,2,3,5,7,9,11,12,13,14,15,16,17} 72 99 65 37 87 71 64 8 25 81 6 33 42 45 58 96 38 4 1 86 28 29            
{18,1,2,3,4,5,6,7,8,9,10,13,14} 64 61 23 60 44 17 95 12 72 66 77 74 27 75 30 98 25 80 51 45 59 36            
{85,1,3,5,6,8,9,10,13,14,17,18,21} 98 19 42 79 11 22 7 15 93 16 88 2 20 60 58 76 49 38 90 71 69 75 4            
{80,1,2,3,4,5,6,8,9,10,11,12,14} 65 69 24 41 40 32 98 30 90 97 33 62 7 57 63 51 100 79 58 48 64 49            
{75,1,3,4,6,7,8,9,10,11,12,13,15} 51 5 34 31 48 2 54 37 77 89 74 71 33 41 18 68 87 86 40 26 55 61 32 100 72 82            
{60,1,2,4,5,6,7,8,9,10,11,13,14} 12 42 46 66 21 93 25 81 17 61 44 31 3 75 51 48 97 63 40 39 26            
{29,1,2,3,4,6,7,8,9,10,11,13,14} 86 40 85 84 53 99 57 12 5 66 92 38 35 34 17 44 36 54 18 75 80 64 82 24            
{42,1,2,3,4,5,6,7,9,10,12,13,14} 32 61 15 62 47 97 77 58 59 11 45 46 83 29 63 67 73 8 49 100 90 16            
{77,2,3,4,6,7,8,9,10,12,13,15,17} 38 14 22 5 16 58 40 33 41 95 88 1 70 85 84 53 25 11 87 46 47 73 61            
{34,1,2,4,5,6,7,10,11,13,14,15,16} 9 51 30 37 38 8 79 59 100 66 12 3 22 99 35 60 47 89 93 24            
{97,2,3,4,5,6,7,8,9,10,11,13,14} 28 49 68 34 52 89 39 36 59 93 12 37 56 87 1 22 61 66 62 91 84 46 29 21            
{65,1,2,3,4,6,7,8,9,10,11,12,13} 20 98 5 62 46 83 100 39 76 92 93 15 80 75 35 42            
{9,1,3,5,7,8,10,11,13,14,15,16,17} 12 88 20 37 26 43 56 4 52 54 51 83 23 55 19 2 82 63 18 78 80 61 53 38 32 6            
{95,2,3,5,6,7,8,9,10,12,13,14,15} 28 65 27 68 43 48 71 25 91 72 90 22 60 4 1 35 41 11 83 78 89 77 73 37 47 36 70 76            
{48,2,3,4,5,6,7,8,9,10,11,12,14} 64 100 76 16 13 19 32 39 94 72 79 40 1 44 96 26 37 88 58 35 47 51 66            
{96,1,2,3,4,5,6,7,8,9,12,13,14} 45 81 68 50 23 78 74 11 95 18 15 70 65 29 91 62 88 40 10 53 48            
{14,1,2,3,4,5,6,7,8,9,10,11,12} 22 37 87 24 83 61 81 79 94 99 38 15 40 33 47 57 54            
{11,1,2,3,4,5,8,9,10,12,13,14,15} 59 86 94 23 75 40 84 53 70 81 47 62 6 7 74 82            
{60,2,3,4,7,11,12,13,14,15,16,17,18} 5 52 55 45 86 1 97 9 78 66 43 23 46 8 89 80 20 61 77 6 42 10 91 96 62 69 100 38 59            
{5,1,2,3,4,6,7,8,9,11,12,13,14} 99 53 52 95 45 25 17 87 93 94 20 100 80 71 75 16 55 50 30 10 62 38            
{13,1,2,4,5,6,7,8,9,10,12,14,15} 44 11 52 63 3 54 61 64 29 57 85 56 74 59 19 39 68 62 75            
