100
{96,3,4,5,6,7,8,9,10,11,13,14,16,18,19,20,21,22,25,27,28,29,33,34,35,36} 47 31 17 38 92 100 30 12 56 26 66 69 15 42 23 24 32 90 71 97                         
{23,1,3,4,5,6,7,8,9,10,11,12,14,16,18,19,20,21,25,26,28,30,31,32,33,34} 91 70 17 27 50 66 42 55 24 13 58 29 22 74 39 98 40 57 37 15 76 62 90                         
{43,1,2,4,5,7,8,9,11,12,13,14,15,16,17,19,21,22,25,26,27,28,33,35,37,38} 48 98 87 36 56 91 99 10 61 60 32 65 24 20 29 71 93 31 34 94 18 6 53 67 85 57 30 23 45                         
{59,1,2,3,6,7,8,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,29,30} 74 80 58 87 52 43 5 96 54 94 28 33 79 9 46 89 56 19                         
{97,1,2,3,6,7,8,11,12,14,17,18,19,20,21,23,25,26,27,29,30,32,33,34,35,36} 9 4 88 77 13 91 28 46 31 24 67 69 15 22 78 75 16 52 55 10 92 58 40 76 85 95 42 99                         
{70,1,2,4,5,7,8,9,10,11,13,14,15,16,17,18,19,20,21,24,25,26,27,28,29,31} 30 76 41 67 88 77 23 49 39 53 22 12 72 34 82 3 51 99                         
{26,1,2,3,4,5,6,8,9,13,14,15,18,19,20,21,22,23,24,25,27,28,29,30,31,33} 37 98 11 51 52 69 16 10 32 73 17 48 50 80 42 67 12 84 97                         
{55,1,2,3,4,5,6,7,10,11,12,15,16,17,19,20,21,22,23,24,25,26,27,28,29,31} 96 13 54 37 49 87 46 76 41 43 18 82 64 98 32 40 38 94 9 92 79 30 52 14 95 57 42 97 65                         
{72,1,2,3,6,7,10,11,14,15,17,18,19,21,22,23,24,25,26,27,28,29,30,31,32,34} 36 55 20 40 83 88 4 64 63 69 43 33 16 90 71 61 79 5 100 41 8 13 12 37 82 52                         
{85,1,2,4,6,8,9,12,13,14,15,16,18,19,20,21,22,23,24,25,26,27,29,30,31,32} 28 46 93 3 80 78 37 45 17 95 11 67 83 75 89 7 47 72 94 5 48 50                         
{92,1,2,3,4,5,6,8,9,12,13,15,16,17,18,19,21,22,23,24,25,26,28,31,32,33} 83 29 98 20 14 42 10 93 84 44 79 53 65 91 90 27 96 30 100 7                         
{62,2,3,4,5,8,10,11,13,14,15,16,18,20,22,23,25,26,27,28,29,30,32,33,34,35} 59 60 9 19 21 53 78 64 75 1 80 39 6 7 17 67 24 47 31 48                         
{82,1,3,4,6,7,10,11,12,15,16,17,18,19,21,23,25,26,27,28,29,30,31,32,33,34} 44 9 54 88 5 83 52 48 20 22 43 14 8 2 40 78 24 75 65                         
{80,1,2,3,4,5,6,7,9,10,12,15,17,18,21,22,23,25,29,30,31,32,33,34,35,36} 61 47 19 88 48 13 90 89 72 100 70 11 87 16 28 24 65 57 20 77 71 8 27 82 26                         
{21,3,4,6,7,8,9,10,11,12,13,14,16,17,18,19,20,22,23,24,25,26,27,28,30,31} 92 98 99 29 54 81 5 78 65 1 51 2 50 72 45 61                         
{69,1,2,3,4,6,8,10,11,12,13,15,17,18,21,24,25,26,27,28,29,30,31,34,35,36} 84 37 32 60 92 65 23 90 5 77 53 9 72 7 46 20 68 55 76 42 83 19 52 56 14 33 50 22                         
{58,3,4,5,6,8,9,11,13,14,15,16,19,20,21,22,23,24,25,27,28,29,31,32,33,34} 41 42 60 10 30 98 2 36 43 26 48 76 93 1 39 50 18 46 7 89 70 44 12                         
{87,1,2,4,5,6,7,9,10,11,12,13,14,15,16,19,20,21,22,24,25,26,28,29,30,32} 59 65 93 74 75 43 88 80 55 45 50 31 51 35 92 17 38 81 40 8 23 27 73 54 3                         
{77,1,2,3,5,6,7,8,9,10,11,13,15,17,18,20,24,25,26,27,28,29,30,32,33,34} 95 99 31 97 22 91 44 98 14 36 16 21 48 61 85 37 53 50 80 23 42 58 4 94 12 70 49 87                         
