100
{79,3,4,5,6,7,8,9,10,11,12,13,14} 55 22 60 35 52 40 100 23 74 15 85 51 39 33 44 83 63 30 95 19            
{61,1,3,4,5,8,9,10,12,13,14,15,17} 45 37 7 46 71 16 63 56 99 55 21 97 11 48 33 26 85 98 82 6 50 40 49            
{35,1,2,4,6,7,9,10,11,12,13,14,15} 91 18 84 5 55 57 38 95 67 62 8 65 68 97 85 17 79 30 56 31 98 39 45 70 82            
{23,1,2,3,7,8,9,10,13,15,16,19,21} 69 6 20 92 76 88 100 87 35 82 11 91 80 17 5 59 48 61 63 70 67 14 64 12 68 18 65            
{68,1,2,7,8,10,11,12,14,15,16,17,19} 13 46 93 18 6 42 4 31 98 80 63 9 64 3 70 89 85 33 78 99            
{30,1,3,7,8,9,10,11,12,13,14,15,16} 94 55 67 100 62 37 84 45 59 69 5 36 88 20 54 2 80 4 79 29 91 39            
{13,1,3,4,5,6,8,9,10,12,14,15,16} 2 39 94 41 71 47 49 33 57 84 11 51 92 35 85 31 78 79 23 87 28 54 73            
{97,1,2,4,5,6,7,9,10,11,12,18,19} 17 88 64 16 73 65 3 95 82 48 44 100 31 37 60 15 49 13 14 76 86 94 99 67 20            
{11,1,2,3,4,6,7,8,10,12,13,14,16} 5 77 66 76 15 65 59 97 86 22 34 64 42 39 54 29 67 98 75            
{89,1,2,3,4,5,6,7,8,9,11,13,14} 24 33 72 96 46 82 31 39 97 12 92 86 52 17 32 16 19 64 63            
{80,1,3,5,6,8,10,12,15,16,17,18,20} 60 76 36 81 19 82 9 44 4 85 61 58 79 71 83 72 98 2 46 13 37 7 14            
{74,1,2,3,5,6,7,8,9,11,13,15,16} 22 81 47 4 21 56 19 99 53 71 20 77 55 79 10 29 97 64 37 87 46 66 61 14 84            
{63,1,2,3,4,6,9,10,12,14,15,16,19} 40 43 7 8 66 57 47 41 52 61 55 75 70 48 17 11 84 90 36 18 5 45            
{68,1,2,3,5,6,7,9,10,13,15,16,17} 73 47 54 8 76 39 93 21 11 33 12 62 4 27            
{28,2,3,4,5,6,7,10,11,12,13,14,17} 16 67 79 81 80 8 62 90 98 63 94 9 31 25 89 91 24 88 60 74 36 33 1 77 78 55 68 84            
{8,1,3,4,5,6,7,9,11,12,13,14,17} 91 24 46 63 31 98 29 33 15 30 20 10 22 79 23 2 51 75 96 82 49 81 100 44 95 84 58            
