60
{33,3,4,5,7,9,10,11} 59 24 22 12 6 38 34 28 15 8 51 26 53 42 14       
{3,1,4,5,6,7,8,9} 43 42 10 25 39 53 60 14 36       
{16,1,4,7,8,10,11,12} 49 9 29 47 38 13 37 54 52 6 19 27 25 14 36 60 2 18 5       
{53,1,2,3,5,6,7,8} 56 19 10 47 32 28 41 24 26 46 13 17 25       
{33,1,2,4,6,8,9,11} 7 19 52 24 10 17 30 36 3 15 58       
{56,2,4,5,7,8,11,12} 50 3 24 55 9 18 21 10 52 20 37 34 42 46 33 60 1       
{5,1,2,3,4,6,8,10} 48 45 16 56 22 41 12 55 37 9 46 34 35 21 57 23       
{44,2,3,4,5,6,7,9} 41 60 29 11 26 25 16 10 1 38 55 27 59       
{16,1,2,4,5,8,10,12} 41 35 17 52 55 13 3 43 7 37 49 33 45 39 40 6 57 24 11       
{48,1,3,7,9,11,12,13} 55 37 6 2 4 29 15 36 60 43 5 17 52 8 50       
{52,1,2,3,4,5,6,7} 58 35 9 57 26 20 50 8       
{42,2,3,4,5,6,8,9} 51 24 23 34 39 18 26 60 21 25 41 50 32 7 54 59 1 30 27 49 47       
{3,1,2,5,6,7,8,10} 42 60 51 56 22 9 24 45 55 16 4 40       
{39,4,5,6,7,8,9,10} 59 22 51 58 37 1 52 3 47 2 57 35 42 25 30 24       
{10,2,3,4,6,7,8,9} 28 25 16 5 1 59 53 43 51 26 30 60 27 39       
{15,1,2,4,5,6,10,11} 8 9 46 13 21 3 25 52 31 48 32 7 58       
{5,1,2,3,6,7,8,11} 36 32 4 56 44 9 52 10 45 59       
{38,1,2,4,5,7,8,9} 6 31 55 43 19 3 12 45 28 42       
{24,1,2,6,7,8,9,10} 49 47 29 4 59 37 23 3 5 51 18 41 60       
{56,1,2,3,4,5,7,8} 48 47 11 6 43 35 23 31 26 50 52       
{16,1,2,3,4,5,8,9} 33 25 43 36 27 6 30 7 53 45 28 22 12 24 35 55 46 37       
{13,2,3,4,5,6,8,9} 56 39 44 1 52 37 14 34 24 23 7 21 40 59       
{44,1,2,3,4,5,6,8} 12 30 43 59 22 19 7 20 50 32       
{21,2,3,7,8,10,11,15} 52 40 12 22 13 19 56 9 57 1 28 29 4 5 45 14 6       
{41,1,5,6,7,9,10,11} 35 15 48 14 3 57 21 16 28 8 2 43 12 4 31       
{53,2,3,5,6,7,9,10} 4 51 41 32 15 33 12 20 11 59 30 55 38 1 8       
{58,1,2,4,5,6,7,9} 49 12 30 39 57 8 55 28 54 29 15 34 31 21 52 3       
{15,2,3,5,6,7,8,9} 24 1 57 4 21 43 27 18 51 47 44 33 29 25       
{44,1,2,4,5,6,7,9} 39 34 19 10 3 8 28 24 27 42       
{23,1,2,3,4,6,7,8} 45 14 27 58 46 12 59 39 51 43 21 26 15 5 60       
{32,1,2,3,4,5,6,7} 51 27 20 16 56 18 25       
{26,1,2,3,5,6,7,8} 43 16 47 4 33 49 57 23 31 17 12 44       
{1,2,3,4,7,8,10,11} 26 58 21 32 6 9 28 50 5 41       
{12,2,3,4,5,8,9,10} 59 41 58 38 60 27 1 35 7 22 6 39 29 48       
{25,1,2,3,4,5,6,8} 11 40 52 14 60 50 53 9 7 34 42 20 21       
{3,1,4,6,7,8,9,11} 10 5 21 47 53 17 46 54 2 58       
{19,1,2,4,5,8,11,12} 7 9 55 21 51 42 6 10 14 46 39 3 22       
{60,2,4,5,6,7,9,10} 1 3 26 18 51 39 8 34       
{22,1,3,4,5,6,7,8} 15 38 9 54 51 14 55 12 37 45 30 29 2 27 34 41       
{13,1,2,3,4,5,6,7} 47 22 44 35 51 48 24 9       
{52,1,2,3,5,6,10,11} 4 50 12 9 39 26 8 7 33 34 56 19 25       
{51,3,4,5,7,8,9,10} 52 6 1 14 2 46 13 37 18 50 60 29 12 35 58       
{30,1,3,4,5,6,7,8} 18 15 2 32 25 60 23 9 56 53 50 28 20 21 10       
{29,1,2,3,4,5,6,7} 32 40 23 17 22 28 8       
{9,1,2,3,4,5,6,8} 47 13 18 17 7 58 21 39 24 30       
{52,1,2,3,5,8,9,10} 30 55 7 42 4 37 36 6 21 16       
{49,1,2,5,6,7,8,9} 40 28 36 60 48 57 20 3 12 4 32 14 45 55 19       
{34,1,2,3,4,5,6,8} 7 20 59 55 47 25 40 10 50 16 51       
{3,1,2,4,5,6,7,8} 12 32 47 27 60 19 9       
{42,1,2,3,4,5,7,8} 41 6 12 20 11 10 35 23 48 43 33       
{28,2,3,4,5,6,7,8} 42 53 38 12 37 15 58 31 19 26 14 40 39 30 56 48 13 1       
{17,1,2,4,7,8,12,13} 42 3 5 35 9 41 16 11 14 10 27 46 24 22 20 6       
{4,3,5,6,7,8,9,10} 36 2 35 57 15 1 43 26 21 51       
{3,1,2,4,5,6,7,8} 27 59 12 36 39       
{21,1,2,3,4,5,11,12} 18 37 27 26 13 7 10 9 39 48 46 6 47 8       
{60,1,2,3,5,8,9,10} 57 31 41 7 20 43 17 6 13 4 24 51 22       
{14,1,2,3,4,5,6,8} 53 56 58 11 47 60 27 32 28 7 25 9 24       
{57,1,2,3,4,6,7,8} 36 33 30 51 27 11 16 34 45 42 5 14       
{14,2,3,4,5,6,7,9} 34 15 12 23 26 48 8 30 17 1 54 19 22       
{13,1,4,5,7,9,11,14} 38 47 6 19 3 56 34 49 12 2 57 10 43 35 30 8 15 42       
