60
{37,4,6,8,9} 5 2 25 39 7 17 20 52 55 32 15 29 46    
{33,3,4,5,6} 49 44 34 45 12 21 29 47 11 1 19    
{41,1,2,4,5} 23 56 29 51 40 53 34 13 22 33    
{36,1,2,3,5} 22 44 55 46 15 18 45 25 54    
{28,2,3,4,6} 39 24 56 13 47 48 53 23 33 60 1 16 14 36    
{17,1,2,3,4} 32 48 15 47 18 52 50 28 26 31    
{47,2,3,4,5} 10 21 44 39 12 42 1 16 25 38 54 58 57 28 40    
{30,1,2,3,4} 29 10 27 9 32 13 55    
{8,1,2,3,4} 20 31 40 26 58 10 17 38 18    
{16,1,2,3,4} 48 14 51 46 8 27 36 7 55 24 9 50 32 57 20    
{21,1,3,4,5} 16 47 18 2 58 13 45 52 36 43    
{2,1,3,4,5} 41 36 34 20 58 40 57 7 29 17 33    
{38,1,2,4,6} 50 8 11 59 36 5 37 16 39 23 60 3 29    
{47,1,2,3,4} 32 31 5 59 36 56 21 28 29 18 38 49 30 10    
{43,2,3,5,7} 17 18 28 34 1 58 59 50 6 26 16 42 23 41 24 4    
{26,1,2,3,4} 15 58 53 19 7 60 49 40 47 30 29 11 10 5 13 35 44 37 39    
{47,2,3,4,5} 38 12 22 27 52 51 6 41 15 9 1 36 53 28    
{9,1,2,3,5} 24 38 26 4 45 49 59 42 14 46 11 6 35 50 15 57 33    
{32,1,3,4,5} 21 39 51 2 53 28 52 27 44 54 16    
{31,2,3,4,5} 58 36 38 59 1 53 55 10 12 45 9    
{25,1,3,4,5} 2 29 58 37 60 34 14 57 19 42 40 7 11 47    
{29,1,2,5,6} 34 38 31 30 37 17 56 4 28 32 41 3    
{27,1,2,4,6} 60 56 31 5 48 34 39 15 52 13 3 29 35 32 26 55    
{18,1,2,3,4} 39 15 60 10 5 58 30 42 37 56 35    
{51,2,3,5,6} 30 35 48 40 21 37 33 53 4 43 46 27 1 52 34 7    
{23,1,2,3,4} 55 34 18 31 54 9 6 16 42 52 51 15    
{25,1,2,3,4} 35 44 10 36 28 58 50 8 17 31 19 33 42 23 32 29 51    
{47,1,2,3,4} 52 39 15 7 5 14 37 27 17 19 60 22 6    
{14,4,5,6,7} 16 13 8 60 52 48 1 49 2 31 3 21 27 22 12 33 39 23    
{24,1,2,3,4} 14 34 36 8 16 57 25 22    
{20,1,2,3,4} 22 49 14 9 45 6 26 50 59 29 48 23 27 39    
{6,2,3,4,5} 48 14 42 23 10 52 22 8 37 59 55 1 19 27    
{47,1,4,6,7} 12 3 27 53 25 18 2 58 43 5 38 29 51    
{25,1,4,5,6} 2 26 22 23 3 15 21 36 30 40 60 12 38    
{42,1,2,3,4} 27 53 16 18 25 37 38 58 24 23    
{41,1,2,3,6} 52 51 56 20 47 17 53 14 12 13 27 10 4 11 30 5 34 57    
{56,2,3,4,5} 25 35 54 24 57 22 44 16 50 32 41 28 21 38 1 13 46    
{47,1,2,3,4} 34 41 48 18 39 14 37 13 20 22 33 35 17 9 7    
{48,2,3,4,6} 19 24 38 7 29 5 45 23 13 28 31 1 51 16    
{9,1,2,4,5} 46 16 60 34 21 3 25 7 54 12 44    
{42,1,2,4,5} 17 22 37 15 3 38 12 36 51    
{15,1,2,3,4} 27 7 59 49 24 35 26 32 21 41 18 58 50    
{50,1,2,3,4} 15 33 46 52 11 58 25 60 51 45 44    
{40,1,3,5,6} 16 4 7 59 2 50 51 43 27 47 37 49 19    
{52,1,3,5,6} 20 11 2 43 31 46 39 18 57 51 50 4    
{1,2,3,5,6} 57 18 43 47 40 56 54 4 45 10 60 37 25    
{28,1,3,4,8} 7 54 16 33 2 11 5 58 36 38 21 6 14 46 44 52 57 50 17    
{5,1,2,3,4} 60 58 32 31 52 51 29 6 25 38 39 23 10    
{54,1,3,4,5} 2 50 31 55 42 14 16 29 18 44    
{49,1,2,3,4} 42 37 10 44 43 59 55 58 47 6 13 15 51 31 45 18 27    
{45,1,2,4,5} 48 19 41 43 56 26 3 17 25 50 33 27 36 58 39 44 10    
{23,2,3,4,5} 6 58 29 32 19 45 26 28 11 48 17 43 47 36 60 25 1    
{57,1,2,4,6} 33 25 20 35 17 19 5 16 3 36    
{26,1,2,3,5} 19 40 37 47 7 46 49 4    
{8,2,3,5,6} 57 32 23 10 20 49 4 1 50 26 58    
{36,1,2,4,6} 23 60 5 37 22 46 58 3 14 24 51    
{60,1,2,3,4} 46 55 45 36 12 37 18 59 10 21 30 7 47 53    
{47,1,2,3,4} 12 15 33 11 35 42 24 9 43 55 48 52 16 21 20 27 7 50 56 51 59    
{60,1,2,3,4} 14 57 13 20 31 50 32 44 15 18 58 42    
{40,1,2,3,4} 43 13 57 24 28 52 16 59 48 5 21 46 29 23 34 56    
