60
{4,3,5,6,7,8,9,10,11,12,13,16,18,20,21,22} 14 59 19 35 54 25 17 33 38 45 52 48 15 53               
{37,1,3,5,6,11,12,13,14,15,16,18,19,20,21,23} 36 30 9 7 8 26 41 17 10 31 22 4 48 28 45 39 34               
{43,1,2,4,6,7,8,9,10,11,13,14,15,17,18,19} 27 39 37 52 40 16 49 12 5               
{20,3,5,6,7,8,9,11,12,16,17,18,19,21,22,23} 27 13 1 10 14 46 2 31 38 30 15               
{3,1,2,4,6,7,8,9,10,11,12,13,15,16,17,19} 18 50 57 20 14 43 56 37 48 60 54               
{54,1,2,3,4,5,8,10,11,12,13,14,16,17,18,19} 27 60 44 29 51 57 59 7 15 9 47               
{34,1,3,4,5,8,9,10,11,12,14,16,17,19,20,21} 55 24 2 13 15 6 60 18 37 57 36 42               
{42,1,3,4,5,6,7,9,11,13,14,15,16,18,19,20} 24 44 43 57 17 10 45 12 35 22 23 2               
{26,1,3,4,5,7,8,10,11,12,13,14,15,16,17,19} 36 60 23 6 18 2 21 44 52 57 54 47 53               
{22,1,3,5,6,7,9,11,13,14,15,16,17,18,20,23} 26 60 19 57 2 30 21 24 37 59 34 8 45 4 12 28               
{46,1,2,3,4,5,6,7,8,9,10,12,13,14,15,16} 17 55 51 38 39 22 20               
{3,1,2,4,5,6,7,9,11,14,16,17,19,20,21,23} 15 53 60 57 18 22 10 47 49 58 42 8 52 13 32               
{4,1,2,3,5,6,8,9,10,11,15,17,18,19,20,21} 60 28 7 58 55 34 31 14 45 39 51 12 16               
{47,2,3,6,7,8,9,10,11,12,16,17,18,19,21,22} 20 32 44 52 4 15 30 37 31 5 59 1 60 28 13               
{58,2,3,5,8,9,10,11,13,16,17,18,19,20,22,24} 21 36 30 6 12 53 23 33 55 1 7 4 60 28 47 48 14               
{50,1,2,4,5,6,7,8,9,10,11,12,14,15,17,18} 58 13 22 47 24 32 49 3 43 25 52 53 45 44 51 54               
{1,3,4,5,6,7,9,10,12,13,14,15,16,20,21,23} 11 33 50 24 2 19 54 45 43 18 26 32 51 8 37 22 57               
{26,1,2,3,4,6,8,10,11,13,14,15,16,19,20,22} 5 55 7 27 9 58 30 21 35 24 54 12 38 17               
{48,2,3,4,5,6,7,8,9,11,12,13,14,15,16,18} 31 44 58 1 27 21 53 55 17 28 33 32 10 47 26               
{37,1,2,3,6,7,8,9,10,12,13,15,16,17,18,19} 14 4 35 60 57 33 50 42 52 43 49 11 44 5 58 46               
{36,1,2,3,4,5,6,7,8,11,12,13,14,16,17,20} 27 10 53 22 41 19 50 28 32 18 9 15               
{27,1,3,4,5,6,7,9,13,14,15,18,19,20,23,24} 53 57 12 10 17 8 2 60 21 11 16 46 58               
{9,1,2,3,4,5,6,7,10,11,12,13,14,16,17,18} 53 59 25 26 51 36 15 38 57 8 44 30               
{43,1,2,3,4,5,6,9,11,12,13,14,15,19,20,21} 37 55 18 8 17 53 32 45 10 51 52 47 60 35 7 16 59               
{32,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17} 48 45 1 39 27 54 16 34 35 60 52 59 43 23 46 41 33               
{32,1,3,4,5,6,7,8,11,12,13,14,15,16,20,21} 31 28 50 9 18 23 51 43 52 30 55 17 2 19 10               
{59,1,2,5,7,8,9,10,11,12,13,14,15,16,17,20} 3 39 4 50 19 42 31 41 29 21 6 45 22 25 54 36 18               
{54,1,3,4,5,6,7,8,9,11,12,16,17,18,20,22} 15 55 2 45 13 33 35 26 37 14 21 60 19 29 30 10               
{28,1,2,3,4,5,7,8,9,10,11,12,13,14,15,16} 53 38 27 42 60 6 54 52 47               
{56,1,3,5,6,7,8,9,11,12,13,16,17,19,20,21} 23 34 36 43 15 18 4 37 28 53 26 10 14 2 49 32 33               
