60
{50,4,6,7,8,10,11,12,13,14,16,17} 5 2 36 48 39 15 9 23 57 34 43 32           
{30,3,4,5,6,7,8,9,10,11,12,13} 35 42 53 28 43 52 16 1 27 56 41 44 50           
{38,1,2,4,5,6,8,9,11,13,14,16} 35 41 34 40 53 50 47 15 12 21 7 24 43 10 26           
{43,1,2,3,5,6,7,8,9,10,11,12} 14 58 18 15 16 40 34 46 20 25           
{14,2,3,4,7,8,9,12,13,16,17,18} 41 24 59 10 31 6 21 48 33 15 40 1 39 11 46 30           
{31,1,2,3,4,7,9,10,11,13,15,16} 56 5 49 12 34 14 50 41 8 48 20 42 52 35           
{46,1,2,4,5,6,8,9,10,11,12,13} 32 57 48 27 23 51 3 60 14 53 20           
{25,1,2,3,4,5,7,9,12,15,18,19} 45 14 26 41 16 20 29 32 11 53 48 10 17 35 13 6 44           
{20,2,3,4,5,6,7,8,10,11,14,15} 1 12 35 48 33 13 26 57 56 23           
{8,1,2,4,6,7,9,11,12,13,14,15} 23 19 5 36 59 3 58 38 26           
{37,1,2,3,4,6,7,9,10,13,14,15} 32 21 56 12 17 23 8 5 57 59           
{35,1,2,4,5,7,8,10,13,17,19,21} 29 15 30 11 58 27 6 26 22 14 32 16 46 54 3 20 47 9 18           
{19,1,2,3,4,5,6,7,10,11,12,14} 23 16 47 28 29 51 8 24 9 50 34 21           
{5,1,2,3,9,10,11,13,16,17,18,19} 6 30 54 28 56 12 15 59 39 8 7 41 4 55           
{5,2,6,7,8,9,10,11,13,16,18,19} 14 25 27 1 12 17 60 38 4 20 24 31 47 22 52 3 33           
{55,1,3,5,6,7,9,10,11,14,15,17} 13 44 42 2 26 45 4 51 12 8 29           
{55,1,2,3,4,5,6,7,9,10,12,13} 39 52 50 15 43 60 11 44 8 59           
{49,1,2,3,5,6,7,8,9,10,11,13} 24 4 34 55 31 19 12 51 20 32           
{18,1,2,3,4,5,6,7,8,9,11,12} 28 25 51 35 45 13 26 10 54           
{18,1,2,3,5,10,11,13,14,16,17,19} 12 57 6 37 4 51 45 40 47 7 9 24 42 15 8 23           
{38,1,2,4,6,7,8,9,10,12,14,15} 13 3 11 30 27 54 34 50 5 22           
{53,1,2,3,4,5,6,7,8,9,10,11} 59 26 41 21 15 12 47 58 45 43 50 30 34 37 28           
{31,2,3,4,5,6,8,12,14,15,16,17} 37 1 35 7 58 10 59 47 13 43 38 49 30 11 53 20 25 42 9           
{18,1,2,4,6,7,8,9,10,11,12,14} 26 46 5 28 15 44 3 13 47 35 54 20           
{53,1,2,3,5,6,7,9,10,11,12,13} 40 32 43 23 41 48 60 15 8 19 33 36 4           
{10,1,2,4,5,6,7,11,13,14,15,17} 37 3 9 22 55 24 43 48 16 19 12 49 27 50 34 8           
{12,1,3,4,5,6,8,9,10,11,13,14} 26 32 28 45 15 30 46 2 55 39 54 7 21 48           
{37,1,3,4,5,6,7,8,9,10,11,12} 53 2 45 13 14 24 38 59 19 43 39 22 55 27           
{51,1,2,3,4,5,6,7,9,10,11,14} 13 59 12 16 56 52 8           
{22,1,3,4,6,7,8,9,10,11,13,15} 37 5 21 12 48 27 44 50 47 49 2 54 51 23 40 32 14 39 58 43           
{18,1,2,3,4,7,8,9,10,11,12,13} 54 59 5 23 43 6 58 51 15 32 39           
{40,2,3,4,5,6,9,10,13,14,15,16} 27 18 38 7 8 53 49 1 12 30 25 11 31 56           
{9,1,2,3,4,6,7,8,10,11,12,13} 15 5 25 49 57 36 56 42           
{56,2,5,7,8,9,10,11,12,14,15,16} 60 40 3 13 1 53 6 55 22 4 21 46 37 18 26           
{6,1,4,5,7,10,11,13,14,15,16,17} 58 8 12 19 53 9 23 24 3 52 48 2 46           
{46,2,3,4,5,6,7,8,9,11,12,13} 37 10 51 1 45 54 42 33 43 25           
{23,1,2,3,4,5,6,7,8,9,10,12} 40 28 11 34 36 59 26 39 48 54 20 50 30 22 41           
{42,1,2,4,5,6,7,8,9,11,12,13} 45 49 28 53 56 39 48 55 15 3 21 32 10 23           
{28,2,3,4,6,7,8,9,10,11,12,13} 43 50 38 56 27 1 37 14 5 30 31 17 48           
{20,1,2,6,7,8,9,10,11,12,13,14} 34 55 5 32 48 3 4 25 30 41 37           
{3,1,4,7,9,10,11,12,13,15,16,17} 40 37 48 50 5 49 6 25 2 14 8 22 53           
{33,1,3,4,5,7,8,9,10,11,12,13} 20 23 2 38 36 6 16           
{22,5,6,7,8,9,10,11,12,13,14,15} 1 39 2 45 28 17 31 25 23 4 26 50 30 3 36 53           
{8,1,3,4,5,6,7,9,10,11,12,13} 24 17 2 59 30 49 47 55 58 16           
{27,1,2,3,4,5,6,7,9,10,11,12} 20 19 46 47 22 16 8 58 38 28 43 36           
{56,1,2,3,6,8,9,10,11,13,14,15} 36 35 12 4 7 24 54 27 53 34 45 5           
{15,1,2,4,5,6,7,8,9,10,11,14} 24 55 30 22 12 44 13 59 52 57 56 51 45 48 3 49 23 20           
{6,2,3,4,10,11,12,13,14,15,16,17} 8 40 39 5 41 47 38 54 25 26 60 37 35 1 30 27 9 7           
{47,1,2,3,4,5,7,8,9,10,11,12} 32 44 41 33 59 38 23 30 57 6 26 18           
{58,4,5,7,8,9,10,11,12,14,15,16} 30 26 22 56 60 21 1 6 52 2 43 17 41 37 13 39 3           
{30,1,2,3,4,5,6,8,9,10,11,12} 29 19 18 31 7 47 59 20 36 16 52 13           
{59,1,3,4,5,7,8,9,10,11,12,13} 15 47 58 35 29 17 50 51 2 6           
{34,1,4,5,6,9,10,11,12,13,14,15} 2 7 38 58 3 23 28 46 8 25 22 59 41 32 43 35           
{31,1,2,3,4,5,6,7,8,9,10,11} 12 46 21 30 48 19 36 37 24 14 27           
{27,1,2,3,4,5,6,7,8,9,10,11} 56 17 40 38 14 34 44 59 47 18 58 16 28 26           
{46,1,3,4,5,7,8,10,12,13,15,16} 50 32 2 11 6 39 34 38 47 14 55 33 9 29           
{1,2,3,4,5,6,8,10,12,13,14,15} 49 33 11 7 47 20 9           
{44,1,2,3,5,6,7,8,9,11,13,14} 55 50 45 22 10 53 31 52 4 12 23 35 30           
{10,1,2,3,4,6,7,8,9,12,13,15} 49 23 51 31 29 37 53 5 47 22 11 28 17 55 52 14 44           
{50,1,2,3,4,5,6,8,9,10,11,12} 25 17 48 34 15 7           
