60
{17,4,5,6,7,9,11,13,14,15,16,18} 50 10 54 42 26 28 12 52 8 32 3 56 47 20 19           
{30,1,3,4,5,6,7,9,10,11,12,13} 58 40 59 53 41 8 25           
{40,2,4,5,6,8,10,11,13,15,16,17} 26 48 55 37 1 14 18 12 9 7 56 21 58           
{33,1,2,3,6,7,8,9,10,11,13,14} 17 53 26 44 56 22 28 37 5 47 12           
{39,1,2,3,6,7,8,9,10,11,12,15} 55 33 48 16 58 52 56 51 18 13 32 4 14           
{30,1,2,3,4,5,7,8,9,10,11,12} 42 57 58 35 52 21 28 16 41 25 31 53 26           
{41,1,2,4,5,6,8,9,10,11,12,13} 29 43 14 35 3 20 26 54 21 58 51 15 25 24           
{40,3,4,5,6,7,9,10,12,16,17,18} 15 2 57 27 13 11 49 52 1 36 56 14           
{19,1,2,4,5,6,7,8,10,11,12,13} 3 55 45 34 17 59 39 30 36 41 58 14 56 54 25 57 48 60           
{14,2,3,4,5,6,7,8,9,11,12,13} 50 1 41 24 37 27 52           
{48,1,2,3,4,5,6,7,9,10,12,13} 8 45 58 26 23 42 57 18 41 51 30 24 54 56           
{46,2,5,6,7,8,9,10,11,13,15,16} 27 4 14 3 54 21 1           
{34,1,2,3,4,6,7,9,10,11,12,15} 48 58 14 8 39 50 27 5 46 36 41           
{10,1,2,4,6,11,15,17,18,19,20,21} 3 7 56 8 13 45 59 25 42 12 43 5 53 39 32 37 55 54 9 23 16 58 28 48           
{24,1,2,3,4,5,6,9,10,11,12,13} 7 54 22 49 26 40 23 37 17 46 8           
{20,1,2,3,4,7,8,9,10,11,12,13} 22 52 29 35 14 55 5 36 6 48 49 39           
{1,2,3,5,6,7,8,10,11,12,13,14} 35 44 9 54 25 28 15 4 18           
{17,1,2,4,6,7,8,9,10,12,13,14} 25 5 11 34 3 27 47 26 49 51 45 53 52           
{32,2,3,4,5,6,7,8,10,11,12,13} 58 47 46 31 51 55 9 29 44 26 1 45 56           
{1,2,3,4,5,6,8,9,10,11,12,13} 21 44 7 50 57 37 16 23 38 51 32 28           
{12,1,2,4,5,8,9,10,11,13,14,15} 60 46 43 20 3 42 38 39 55 6 30 27 53 28 7           
{4,1,2,3,5,6,7,8,9,10,11,12} 15 33 16 42 35 40 47 50 23 58           
{20,1,2,3,4,5,6,7,8,9,10,12} 24 15 56 34 14 49 53 22 11 55 31 48 39           
{7,1,2,3,4,5,6,8,9,12,13,14} 44 15 42 27 32 38 43 33 50 26 58 23 36 30 11 10 39 59           
{33,1,3,4,5,8,10,11,12,13,15,16} 17 49 41 9 34 6 7 45 18 35 43 14 54 2           
{19,2,5,8,9,10,12,13,14,16,17,20} 1 49 29 35 18 47 4 27 7 56 48 3 24 6 32 15 46 11           
{8,1,2,3,4,5,6,7,9,11,14,15} 30 28 10 12 50 47 13 26 58 34 48 40 43 60 24 18 21 36 32 42           
{14,2,3,5,7,8,9,10,11,12,13,15} 20 27 21 6 1 58 4 54 17 36 34 38 56 52 44           
{42,1,2,3,4,5,6,8,9,10,11,12} 49 57 32 52 38 31 60 16 58 7 55 19 26 48           
{11,1,3,4,5,7,8,10,12,13,14,15} 9 50 2 41 49 60 58 21 47 27 40 6 24 35           
{23,1,2,3,4,5,7,8,9,10,11,12} 36 19 29 35 54 6 39           
{20,2,3,4,6,7,8,9,10,11,12,13} 42 14 38 57 60 5 27 29 1 24 26 40 19           
{25,1,2,3,6,7,8,9,10,11,12,13} 22 47 4 24 5 54 44 45 50 57           
{38,1,2,3,4,5,6,7,8,10,11,12} 39 28 18 59 50 25 9 27 52 36 13 23           
{52,1,2,3,4,5,8,9,10,11,12,13} 43 51 38 56 48 17 31 22 37 7 45 53 6 50 16 26 25 30           
{56,1,2,3,4,5,6,7,10,11,12,14} 9 59 45 28 34 31 13 40 24 27 8 16 53 47           
