40
{31,4,5,6} 10 8 16 39 12 3 32   
{10,1,3,5} 4 32 25 36 20   
{23,2,4,5} 8 13 17 1 19 26 7 12 36 30 18   
{2,1,3,5} 8 40 15 34 30 28 23 21   
{6,1,2,3} 14 28 34 16 35 8 7   
{9,1,2,3} 5 26 22 15 13 33 36 27 30 34 19 25   
{36,1,2,4} 34 23 30 19 3 20 5 17 31   
{3,2,6,7} 38 10 5 13 31 17 20 4 36 1 12   
{32,1,2,3} 19 38 17 31 37 35 12 6   
{36,3,4,5} 16 12 34 1 38 11 18 15 25 2 30 8 35   
{36,1,2,3} 34 40 15 27 10 16 18 35 25   
{9,2,4,5} 15 25 40 20 10 37 19 28 1 13 8 3   
{17,1,2,4} 3 21 37 6 39 28 8 35 12 14 36   
{28,1,2,3} 39 17 15 5 26 34 25 38 13   
{12,1,2,3} 16 30 14 6 24 11 22 4 28 32 19 10   
{10,2,3,4} 1 39 5 32 20 40 35 31 15 11 30 27   
{13,1,2,4} 30 14 23 3 38 7 28 8 9 39   
{33,1,2,4} 10 29 11 31 26 3 32 22 37   
{3,1,2,4} 33 7 26 31 9 36 15 12 6 21   
{16,1,3,4} 8 12 33 22 40 2 7 36 21   
{40,1,2,3} 36 20 32 28 37 4 29 13 19 25   
{23,1,2,3} 20 15 6 30 18 38 26 40   
{40,1,2,5} 37 3 4 7 22 17   
{35,1,2,3} 27 36 15   
{6,1,3,4} 37 39 12 32 11 30 10 2 21 33 14   
{27,1,2,4} 3 18 22 34 19 31 14 39 6   
{16,1,2,3} 6 24 38 11 40 26   
{12,1,2,3} 21 4 30 39 14 13 17 5 15   
{21,1,2,3} 31 18   
{17,1,2,5} 32 34 22 28 10 25 7 15 4 6 16 3 35   
{40,2,3,4} 32 9 18 29 7 26 36 19 8 16 1   
{30,3,4,5} 21 31 16 25 18 38 15 1 9 2   
{34,1,2,3} 18 6 35 20 19 37 25   
{6,1,2,3} 5 10 11 30 7 36 14 26 33 4   
{9,1,2,3} 5 39 24 33 11 13 10 30 16   
{34,1,4,5} 11 7 10 8 24 21 19 13 2 3 31 6 20   
{18,1,2,3} 23 25 12 9 13 21 33 39   
{22,1,2,3} 27 8 32 14 9 17 40 10   
{13,2,3,4} 25 26 37 1 14 35 17 28 16   
{22,1,2,3} 27 16 23 12 38 21 31 11 20 4   
