40
{34,6,7,8,9,10,13,16} 35 27 3 11 25 4 20 29 12 15 33 28 2 14       
{21,3,4,5,6,8,9,11} 7 1 15 22 33 29 10 37 40       
{15,2,4,5,6,7,8,9} 28 23 16 27 38 1 17 32       
{40,2,3,5,6,7,9,10} 26 27 11 36 1 32 18 8 28       
{31,1,2,3,4,6,7,9} 40 28 30 8 10       
{9,1,2,3,4,5,7,10} 31 11 15 36 38 18 33 22 8 26 24       
{13,1,3,4,5,6,9,10} 8 35 26 32 18 2       
{27,1,2,3,9,11,14,16} 19 26 23 4 5 10 13 22 35 7 6 15 30 12 17       
{36,1,2,3,4,5,7,8} 28 10 19 22 13 35 23 6       
{31,1,3,4,6,7,11,13} 5 12 9 2 17 38 8 35       
{28,2,3,5,7,8,9,10} 20 38 23 31 6 12 4 1       
{10,2,3,4,5,6,7,9} 26 11 20 8 40 29 30 21 1       
{9,1,2,3,4,5,6,10} 19 21 7 8 38 14 27 33 16 31 23 29       
{1,2,3,4,5,6,7,8} 24 21 39 25 37 27 13 36 31 15       
{3,4,5,7,9,10,11,12} 27 23 39 28 31 33 14 8 6 22 1 32 40 2       
{21,1,2,4,5,6,7,8} 13 24 27 3 20 35 19 22       
{35,1,2,4,5,6,7,9} 8 30 22 40 3 38 31 10 24       
{27,1,2,3,5,8,9,10} 29 30 25 4 21 6 7 32       
{8,1,2,3,4,5,6,7} 34 26 16 24 38 13 9 20       
{26,2,3,4,5,6,7,8} 33 16 12 37 1 11 19 28       
{12,1,3,4,5,6,7,8} 13 14 16 39 30 38 18 2       
{6,1,3,4,5,7,10,11} 9 2 16 8 15 30 17 37       
{38,1,2,4,5,6,7,10} 9 35 13 24 3 15 11 8 26       
{6,1,2,3,4,5,7,8} 14 17 19 16 34 32 35 23 29       
{1,2,3,4,5,6,7,8} 29 14 32 38 28 33 36 18       
{6,1,2,3,5,9,10,11} 23 12 7 20 8 4 19       
{35,2,5,6,7,9,10,11} 32 18 3 16 13 36 4 15 8 1 14       
{5,2,6,7,8,10,12,13} 1 4 3 31 25 38 20 11 9 34 15       
{18,3,4,5,6,7,8,9} 24 36 37 25 12 38 1 2 35 13       
{33,1,2,3,4,6,7,9} 18 17 22 12 21 8 31 5       
{30,1,2,3,4,7,8,9} 11 13 17 28 5 10 6 15 14       
{4,1,2,5,6,8,9,10} 25 15 24 3 7 27 18       
{6,3,4,5,7,8,9,10} 20 1 35 2 13 15 30 25 39       
{28,2,3,4,5,6,7,8} 1 38 24 19       
{24,2,3,4,5,6,11,12} 40 29 23 1 10 16 38 9 33 7 8 17 27       
{27,1,2,3,5,7,8,10} 4 9 29 14 25 6       
{40,1,3,4,5,6,7,8} 22 14 29 39 20 2       
{21,1,2,4,5,7,8,9} 6 23 19 35 3 13 10 29 25 39 34 28 17 11       
{33,1,2,3,4,5,6,7} 21 37 14 15 38       
{2,1,3,6,7,8,9,10} 4 37 17 12 35 5 15       
