40
{4,3,5,7,8,10} 32 6 9 28 23 29     
{39,1,3,4,5,6} 19 27 34 14 15 28     
{29,1,2,4,7,8} 13 5 15 16 6 27 28 22 24     
{14,2,3,5,8,9} 18 17 20 1 6 12 7 22 13 34 28     
{13,1,2,4,6,7} 3 32 18 19 25 30 28 29 35 38 40 39     
{19,2,5,9,10,11} 39 33 36 1 3 31 34 37 8 38 7 4     
{4,1,2,3,5,11} 30 9 28 31 23 8 6 10     
{15,1,2,3,4,5} 28 6 37 36 18 25 7 26     
{40,2,3,4,5,6} 15 36 17 34 19 1 7     
{7,1,2,3,4,5} 35 21 30 31 32 34 23     
{33,1,2,3,4,5} 19 40 27 26 35     
{35,1,2,3,5,6} 18 17 40 29 39 19 4 28 38 24 25     
{28,1,2,6,7,8} 36 4 20 3 15 40 21 5     
{4,1,3,5,6,7} 20 25 30 2 38     
{8,1,4,5,6,7} 40 27 9 13 39 2 35 19 3     
{29,1,2,4,5,6} 19 36 27 17 31 3 33     
{33,1,2,3,5,6} 9 16 35 4 20 18 12     
{8,1,2,3,6,7} 21 22 4 5 24 23 17 27 12 29     
{11,1,3,4,7,8} 27 23 21 12 20 5 28 31 9 2 6 15 16 32     
{29,1,2,3,5,6} 4 19 24 14 25 17 13     
{39,1,2,3,4,5} 18 13 19 10 31 26     
{18,1,2,5,6,7} 3 37 4 29     
{25,2,3,4,5,6} 40 18 1 10 19 7     
{12,1,2,4,5,6} 27 18 3 28 20     
{12,1,2,3,4,6} 23 20 8 5 14 33 32 37     
{8,1,2,3,4,5} 11 28 21     
{19,1,4,5,6,7} 2 18 37 3 11 15 28 24 16 40     
{38,6,9,10,11,14} 24 7 3 19 26 12 27 13 8 32 4 5 2 1     
{12,2,4,6,7,8} 38 16 3 1 32 22 18 5 20     
{35,1,2,3,4,6} 10 14 40 37 7 5     
{19,1,2,3,4,5} 16 21 7 6 10     
{5,2,3,4,6,7} 10 1 34 38 25 35 37 28 19 29     
{35,1,2,3,4,5} 6 11 17 25 16 36 37     
{32,1,3,5,7,8} 4 6 2 9 10     
{40,1,2,3,4,6} 15 30 32 17 5 39 12 11 33 10     
{13,1,2,3,4,5} 16 8 9 6 33     
{25,1,2,3,4,5} 32 6 22 30 33 27 8     
{12,1,2,3,4,7} 5 14 40 28 32 29 6     
{15,1,3,4,7,8} 6 12 35 5 21 2     
{38,1,2,3,4,6} 11 9 30 27 35 13 5 12 23 15     
