40
{11,3,4,6,7,8,9,10} 40 20 5 19 16       
{17,1,3,4,5,7,10,13} 21 26 6 11 31 23 9 8 12 38       
{26,1,2,4,5,6,8,9} 37 33 29 17 39 7 28       
{14,1,2,3,5,6,7,8} 34 36 30 12 35       
{1,2,3,4,7,11,13,14} 28 34 30 8 21 9 36 12 37 19 6 10       
{29,1,3,4,7,8,9,10} 28 36 34 27 24 2 30 38 5       
{23,1,2,4,5,6,8,9} 31 32 35 3 34 15 17 29 11 14 13 40       
{15,1,3,4,6,7,9,10} 5 39 28 31 2       
{11,1,3,4,6,7,8,10} 34 2 35 14 31 5 28 25 24 39       
{32,1,2,3,4,6,7,8} 5 19 36 20 33 23       
{19,3,4,5,6,8,10,12} 7 22 21 15 31 34 32 14 16 1 9 17 25 2       
{28,1,3,6,7,8,9,10} 19 5 2 4 38 21 16 18       
{23,1,2,3,4,5,6,8} 35 19 7 31 15 21 14 39       
{20,1,2,3,5,6,8,10} 7 39 16 28 11 9 13 38 30 4 35       
{18,1,2,3,4,5,6,9} 13 40 36 8 24 16 7 11 34 25       
{34,2,3,4,5,6,7,8} 11 32 31 12 1 27 20 15 14 38 28 35 29       
{20,1,4,5,6,8,9,10} 7 3 21 39 2 11 29 27 19       
{22,1,2,3,4,5,6,7} 12 28 15 26 34       
{36,2,3,4,6,7,8,9} 40 5 35 31 1 29 13 17 27 23 11 12 10       
{25,2,3,4,5,6,7,8} 1 33 17 10 21 35 37 26 14 31 16       
{2,1,3,4,6,7,8,9} 12 36 29 28 11 39 5 20 13 17       
{24,1,2,3,4,5,6,7} 11 18 37 38       
{2,1,3,4,5,6,8,9} 7 19 13 39 10       
{35,1,2,3,4,5,7,8} 37 15 6 40 9 22       
{27,1,2,3,4,5,6,7} 28 29 34 11 30 9 31 20 15       
{33,1,4,5,6,7,8,9} 18 35 20 3 27 2       
{31,1,2,3,4,5,7,8} 28 25 6 40 16 19 26 17 30       
{9,1,2,4,7,10,11,13} 16 18 12 40 3 8 27 36 6 14 21 5 25       
{21,1,2,4,5,8,9,10} 37 3 7 6 25 16 38 30 17 19       
{6,1,2,3,7,8,9,10} 5 25 29 14 4 36 27       
{20,1,3,4,5,6,10,12} 9 34 7 13 16 2 25 19 39 11 8 27       
{7,1,2,3,4,5,6,8} 10 38 16 11       
{20,1,2,4,5,6,7,8} 36 3 26 35 10       
{7,1,2,3,8,10,12,13} 9 25 18 16 5 31 6 4 11 15       
{13,1,2,3,5,6,8,10} 33 14 37 7 9 19 24 26 39 20 16 4       
{10,1,2,3,7,8,9,11} 6 19 28 4 5 21 33 30 15       
{5,1,2,4,6,7,8,9} 3 20 38 40 35 24 29 22       
{32,1,3,4,5,7,8,9} 6 14 29 2 12 22 16 37       
{14,1,2,4,5,6,7,10} 35 3 31 40 17 21 8 9 23 13       
{28,2,3,4,5,6,8,9} 7 1 37 27 15 19 24 39       
