40
{13,3,4,5,7,8,10,11,12,14,15} 29 39 36 22 40 17 6 23 9          
{9,1,3,6,7,8,11,12,13,14,15} 10 34 29 4 5 20 30          
{21,1,2,5,6,8,10,12,14,15,17} 28 16 7 39 18 19 33 11 35 13 23 4 9          
{32,1,5,6,7,8,9,10,11,12,13} 2 19 39 24 3 36 18 27 29          
{16,1,3,4,6,7,8,10,11,12,13} 2 19 18 20 26 35 34 9 25          
{29,2,3,4,5,7,9,11,12,13,15} 28 27 38 10 16 17 1 30 14 23 24 8          
{27,1,2,4,5,6,8,9,10,11,12} 20 23 16 35 17 3 14 25 34 40 32          
{28,1,2,3,4,5,7,10,11,13,14} 30 9 6 40 12          
{33,4,6,7,10,11,12,13,16,17,19} 8 30 3 5 14 29 2 31 15 28 18 39 38 1          
{12,1,3,4,5,7,8,9,11,13,15} 36 19 37 2 38 6 21 14          
{21,1,2,4,5,6,7,8,9,10,13} 12 35 25 3 37          
{8,1,2,3,4,5,6,7,9,14,17} 10 39 15 20 13 11 16          
{12,2,4,5,6,7,8,9,10,11,15} 20 40 14 3 32 1          
{24,1,2,3,4,5,8,11,12,15,16} 38 9 10 7 6 28 13 30 39 36          
{39,1,2,3,4,5,6,7,8,10,11} 9 34 12 37 20 21          
{6,1,2,4,8,9,10,11,13,14,15} 12 30 3 36 7 5          
{7,2,3,4,5,8,9,10,11,12,13} 6 1 23          
{31,1,2,6,7,8,10,11,12,13,14} 35 34 23 4 5 32 38 27 9 3          
{24,1,2,6,7,8,9,11,12,13,14} 10 28 25 5 4 3 23 29          
{2,1,3,4,6,8,9,10,11,14,16} 38 13 26 40 7 12 31 5 32 15          
{32,1,2,4,5,6,7,8,9,12,13} 11 36 15 39 10 3 38          
{1,2,3,4,5,6,7,8,9,10,11} 28          
{35,2,4,5,8,9,10,11,12,13,14} 26 3 6 34 18 19 30 7 27 1 17          
{26,1,2,3,5,7,8,9,10,11,12} 6 14 4 29 19 27          
{5,1,2,3,4,6,8,9,10,12,13} 7 29 19 11 36 40          
{30,1,2,3,4,6,7,8,9,10,11} 23 24 35 5 20 27          
{33,1,2,3,5,8,9,10,11,12,13} 7 24 6 28 23 26 18 34 4          
{8,1,2,4,5,7,10,11,12,13,15} 19 14 27 3 6 22 9          
{4,3,5,7,8,10,11,12,13,14,15} 24 1 31 37 35 25 19 6 2 9 33          
{23,1,3,4,5,7,10,11,12,13,15} 6 31 26 2 36 9 16 8 14          
{29,1,2,3,4,5,6,7,8,10,11} 34 30 20 9 18          
{13,1,2,3,5,6,8,9,10,11,12} 4 20 18 7 39 21 35          
{35,1,2,4,5,6,7,8,10,11,12} 3 29 9 27          
{23,1,3,4,6,8,9,10,11,12,13} 18 15 31 7 2 5 39 37 27          
{3,1,2,4,6,8,9,10,12,13,14} 11 5 32 7 39 33 36 18 23 26 29          
{21,2,3,5,6,7,8,9,11,12,13} 4 14 1 30 25 39 10 16 40 35          
{34,1,2,3,4,5,6,7,8,9,12} 11 10 29 15          
{18,1,2,3,4,5,7,8,11,12,13} 6 10 14 20 9 21          
{14,2,5,6,7,8,10,11,13,16,17} 9 12 21 36 32 35 1 34 4 3 15          
{7,2,3,4,5,6,9,10,11,12,14} 1 13 20 36 25 8          
