40
{31,3,4,5} 32 33 11 13 29 25   
{8,1,3,5} 25 38 4 40 16 34 23   
{40,1,2,4} 37 38 25 32 13 17   
{39,1,3,5} 27 30 12 36 2 13 40 14   
{33,1,2,3} 26 23 38 27 29 30 19 31 40 28 14 39 22 24   
{37,1,2,3} 25 10 18 17 21 22 31   
{40,1,2,3} 23 13 11 36   
{28,1,3,4} 33 21 15 25 23 22 27 39 2 10   
{25,1,2,3} 38 11 33 15 39 16 30   
{8,1,2,3} 39 28 6 24 21 36 34   
{1,2,3,4} 7 25 39 30 9 15 19 12   
{11,1,2,3} 35 4 31 24 38 25 22   
{14,2,5,6} 35 32 24 4 19 7 1 26 3 38   
{21,1,2,3} 32 4 15 13 24 38 26 5 30 31   
{34,1,2,3} 40 27 26 8 11 9 28 18 14   
{38,1,3,4} 22 2 32 17 30 40 28 9   
{38,1,2,4} 3 34 6 26 29 16 20 24   
{15,1,2,3} 6 39 37   
{29,1,2,3} 40 27 13 5 25 11   
{39,1,2,3} 36 34 17 30   
{36,1,2,3} 14 10 8 27 39 6   
{40,1,2,3} 37 6 8 36 12 16 5 29   
{8,1,3,4} 31 5 7 40 2   
{17,1,2,3} 37 34 26 33 5 29 10 13 12 14   
{32,4,5,7} 8 1 37 6 26 9 40 2 11 19 12 3 38 27   
{38,1,2,3} 5 25 14 13 15 27 24 17   
{4,1,2,3} 19 21 15 8 5 35 38 25 39 32 26   
{31,1,2,3} 33 16 40 10 29 15 34 5 8   
{5,2,3,4} 22 40 31 1 28 17 19 36 24   
{34,1,2,3} 5 16 20 14 11 4 9 39   
{5,2,3,4} 28 14 12 37 29 1 23 6   
{39,2,4,5} 13 25 27 3 1 36 37 16 14 33   
{1,2,3,4} 39 36 8 40 9 24 28 32 5   
{15,1,3,4} 39 2 37 10 28 24 17 20 30   
{13,1,2,3} 37 40 27 12   
{22,1,2,3} 20 29 4 33 39 32 7 10 21   
{24,1,2,4} 31 6 25 35 22 3 18 34 32   
{26,1,4,6} 14 12 9 5 17 3 2 27 13 39 16 25   
{8,1,2,3} 18 20 9 32 4 27 36 30 40 5 34 11 10 33 38 21   
{39,1,6,8} 25 35 22 5 33 29 15 7 23 16 19 2 4 3 28   
