40
{2,4,5,7} 40 19 27 37 33 30 25 21 29 18 36 6 22   
{24,3,4,5} 38 37 10 1 25 32 26 7 36 29 19 30   
{15,1,2,4} 37 18 25 21 17 5 31 38 36 9   
{6,1,2,3} 12 13 33 36 27 18 21 8 7 24 23   
{3,1,2,4} 14 16 26 39 23 8 38 35 24 36 18   
{30,2,3,5} 14 25 4 1 19 7   
{8,1,3,5} 6 29 28 13 25 35 4 37 2   
{35,1,2,3} 23 5 4 22 38 21 7 18   
{13,1,2,4} 29 37 3 24 16 15 10 11 34   
{26,1,3,4} 20 29 40 9 31 22 2 39 24 25   
{22,1,2,3} 38 31 24 9   
{13,1,2,3} 32 40 33 14 4 37   
{19,1,2,3} 21 26 4 23 15 7 17 9 12 24 39 32 38 14   
{12,1,2,3} 18 35 17 29 5 20 13 6 40   
{13,1,2,4} 16 19 20 28 36 21 18 9 3 33 23   
{9,1,2,3} 15 40 34 5 30 37   
{24,1,2,4} 27 14 3 33 23 13 25 21 34 35 32   
{21,2,6,7} 35 8 36 4 15 29 32 22 5 14 34 3 1   
{1,3,4,5} 39 35 15 6 13 25 2 36   
{15,1,2,3} 10 36 39 30 22 32 14 40   
{34,2,5,6} 4 3 15 8 29 18 32 36 17 13 1 28   
{18,2,3,4} 35 10 11 20 8 31 1 29   
{4,1,2,3} 36 30 8 37 5 17 15 13   
{17,1,3,6} 4 5 9 13 10 39 11 27 37 34 2   
{26,4,5,8} 3 10 35 31 2 6 17 7 19 1 27   
{35,1,3,4} 10 36 2 13 32 5 40 30 25   
{33,2,3,5} 35 25 24 40 4 28 36 1 17   
{21,1,2,3} 39 27 30 7 33 15   
{35,3,4,5} 31 2 34 14 10 33 9 21 1 7 18 22   
{2,3,4,5} 26 31 20 16 23 1 6 28   
{10,1,2,4} 29 25 11 30 3 22   
{2,1,3,4} 13 17 12 21 18 20 26   
{15,2,3,5} 27 28 36 17 39 38 12 4 29 1   
{29,1,2,3} 21 16 38 9 17 18 24   
{22,1,2,3} 27 19 26 7 18 14 25 29 39 8 5 17   
{2,6,7,8} 39 4 3 20 26 38 19 27 1 33 23 5 21 15 18   
{7,4,5,6} 40 2 12 38 1 16 3 23 24 9   
{13,1,4,6} 11 2 33 5 36 8 34 37 3 40   
{33,1,2,3} 24 20 28 10 36 5 40 35 13 19   
{1,2,3,4} 38 27 39 20 10 12 26 14 16 37   
