80
{58,3,4,5,6,7,8,10,11,13,15,16,17,19,20,21,22,23,28,29,30} 43 64 60 35 53 26 12 14 38 25 66 24 78 9 18 68 76 47 54 27                    
{66,1,3,5,6,7,8,9,10,12,13,14,15,16,18,20,21,22,23,25,26} 71 45 78 24 43 17 31 19 56 11 37 4 47 69 38 60                    
{33,1,2,4,5,7,8,9,10,11,12,13,15,17,18,20,21,22,23,24,25} 56 72 14 45 62 40 79 16 26 32 19 77 61 6 31                    
{23,1,3,5,7,8,10,11,12,13,14,15,16,18,19,21,24,25,28,30,31} 39 57 9 20 17 26 52 29 48 2 36 73 6 22 72 67 33 65 27 43 53                    
{55,1,2,3,4,6,7,10,11,12,14,15,16,17,18,20,21,23,25,26,27} 46 73 8 40 13 74 76 43 44 64 75 24 35 9 29 19 30 22 59                    
{34,1,2,5,7,8,10,11,12,13,15,16,17,19,20,21,24,26,27,28,32} 53 18 46 29 38 4 54 25 3 80 31 77 14 23 76 49 30 22 55 9                    
{35,1,2,3,4,5,6,9,10,12,13,14,15,16,17,18,19,20,22,23,25} 8 46 48 78 26 11 65 41 51 24 53 64 30 32 68 77 54 21                    
{28,1,2,3,4,6,9,10,12,13,15,17,18,20,23,24,25,29,30,31,32} 21 33 26 11 16 72 63 62 19 27 52 5 34 22 48 57 71 7 14 56                    
{49,2,3,7,8,11,12,13,14,15,16,17,18,19,21,22,23,24,25,26,28} 58 39 64 27 46 75 66 40 38 5 10 44 20 47 68 50 6 80 1 4                    
{35,1,2,3,4,5,6,7,8,11,12,13,14,16,17,18,19,20,21,22,26} 77 34 55 9 60 25 62 79 75 47 28 15 23 24 72                    
{64,1,3,4,5,6,9,10,12,14,16,17,18,19,21,23,25,26,27,28,29} 20 54 45 72 47 73 8 15 24 35 7 13 22 31 2 48 40 33 59 34                    
{80,2,3,4,5,6,7,8,9,10,11,14,16,17,18,19,20,21,22,23,25} 54 33 78 13 71 60 50 48 53 43 15 1 62 72 24 76                    
{38,1,2,3,4,6,7,8,9,10,14,15,16,17,18,20,21,22,23,26,27} 37 19 40 46 11 47 79 56 49 24 5 50 42 34 72 12 35 25                    
{1,2,4,5,7,9,10,11,12,13,15,16,17,19,20,21,22,25,26,27,28} 63 18 53 31 49 8 42 65 6 3 80 37 72 69 64 74 45 59 23 78 29 24 35                    
{20,1,2,3,4,5,6,7,8,9,13,14,16,17,18,19,21,26,27,28,29} 25 24 73 78 45 23 74 38 64 47 55 44 12 11 42 65 22 51 48 10 40                    
{55,1,2,4,5,6,7,9,10,11,12,13,14,15,17,18,20,21,22,23,24} 40 77 3 19 8 39 26 45 54 41 49                    
{73,1,3,5,6,7,8,9,10,11,12,13,14,15,16,18,19,21,24,25,27} 23 22 20 53 4 35 26 46 64 71 45 2 43 41 74 78                    
{6,2,3,4,5,7,8,9,10,11,12,13,15,16,17,19,20,21,23,24,26} 56 22 25 33 14 77 45 1 76 27 48 74 69 38 39 49 65 32 28                    
{34,1,4,6,7,9,10,11,12,14,15,17,18,21,22,23,24,26,27,28,29} 35 5 33 25 62 42 20 16 49 58 71 32 3 69 2 57 13 79 44 8                    
{69,1,2,3,5,6,7,8,10,12,13,14,16,18,22,23,24,25,26,27,31} 4 49 9 37 65 80 57 39 17 70 21 11 58 40 28 68 19 29 15 30                    
{22,1,2,3,4,5,6,9,10,11,12,13,14,15,16,17,18,19,23,26,27} 73 7 53 25 8 40 54 59 30 78 31 20 50 29 24                    
{50,1,2,3,7,9,10,12,13,14,16,19,20,23,25,28,29,31,32,33,36} 26 6 73 27 78 30 80 59 4 11 5 52 41 72 15 71 37 57 17 21 18 24 8 35 34                    
{49,1,2,3,5,7,8,9,11,12,13,16,18,19,20,21,22,24,26,27,28} 52 25 30 50 53 15 17 39 71 4 46 6 10 57 14 70                    
