20
{2,4,5,6,7} 14    
{6,4,5,7,8} 1 18 3    
{8,1,4,5,6} 10 14 7 11 2    
{8,1,2,3,6} 20 9 14 18 5    
{8,1,2,3,6} 10 19 16 4 18    
{10,1,3,4,5} 9 14 18 2    
{3,1,2,4,5} 11    
{10,1,2,6,7} 4 5 11 20 3 18    
{6,1,2,3,5} 4    
{20,1,2,4,7} 6 8 16 3 5    
{3,1,2,4,5} 7 17 14 18 8    
{19,1,2,3,4} 15 13 14    
{14,1,2,3,4} 18 12    
{11,2,5,7,8} 16 12 4 1 6 13 3    
{12,1,2,3,4} 17    
{10,1,2,3,4} 14 5    
{19,1,2,3,4} 11 15    
{8,1,3,7,9} 5 4 11 6 13 2    
{17,1,2,3,4} 20 5 12    
{8,1,2,3,5} 4 19 10    
