20
{20,3,4,5,7,8} 6 17 16     
{18,1,3,5,6,7} 4     
{17,1,2,5,6,7} 16 12 4 9     
{3,1,5,6,7,8} 13 11 9 2     
{13,1,2,3,4,6} 9 18     
{19,2,3,4,5,7} 12 1     
{18,1,2,3,4,5}     
{14,1,2,3,4,5} 13 19 18 12     
{10,1,2,6,7,8} 11 3 4 20 17 18 5     
{12,1,2,3,4,5} 18 19 13 9     
{4,1,2,3,5,6} 9 16     
{3,1,2,4,5,7} 10 14 20 18 6 8     
{10,1,2,3,6,7} 4 20 8 5     
{18,1,2,3,4,5} 8 12     
{16,1,2,3,4,5} 19     
{15,2,4,5,6,7} 20 1 11 3 19     
{3,2,4,5,6,7} 18 1 9     
{17,1,3,4,6,11} 2 10 9 12 7 14 8 5     
{20,1,2,3,4,5} 15 8 6 16 10     
{16,2,3,4,5,6} 12 19 1 9 13     
