20
{19,3,5,6,7} 4 12 11 16 8    
{13,1,3,5,6} 16 4 14    
{15,1,2,4,6} 5 13 12 20 17    
{12,3,6,9,10} 5 2 18 8 1 7    
{16,1,2,6,7} 13 15 4 3 10    
{12,1,2,3,4} 16 10    
{8,1,2,3,5} 20 4 14 9    
{9,2,3,5,6} 15 7 19 20 4 13 1    
{7,1,2,3,4} 17 8    
{6,1,2,3,4} 13 11 14 5 12    
{15,2,3,4,5} 12 1 10    
{10,2,5,7,8} 15 3 6 11 4 1 19    
{19,1,4,6,7} 2 20 10 5 3 16 8    
{2,1,3,4,5} 7 10    
{3,1,2,4,6} 18 5 12 8 11 17    
{6,3,4,7,8} 1 5 13 2    
{19,1,2,4,5} 3 9 15    
{15,1,2,3,5} 4    
{17,2,3,4,5} 13 1 8 12    
{3,1,2,4,5} 7 8 13    
