20
{5,3,4,6,8} 18 13 19 7 11    
{20,1,3,5,8} 7 12 4 6    
{7,1,2,4,5} 16 14 19    
{5,1,3,6,7} 14 19 2    
{9,2,3,6,7} 12 4 15 1    
{15,1,3,4,5} 2 7 20 8    
{3,4,5,8,10} 14 2 12 9 6 1 11 17    
{14,1,2,3,4} 12 9 6 16    
{17,1,2,3,4} 10 16 8 5 7    
{15,1,2,3,4} 19 9    
{7,2,3,4,5} 1    
{2,1,3,4,6} 14 5 8 15 7    
{18,2,3,4,5} 15 20 1    
{7,1,2,5,6} 3 18 4 8 12    
{10,1,2,3,4} 6 13 5 12    
{18,1,2,4,5} 3 9 8 20    
{7,1,2,3,4} 9    
{1,2,3,4,5} 16 14 13    
{4,2,5,6,7} 3 10 1    
{13,1,3,4,5} 16 6 2    
