20
{8,4,5,6,7} 14 3 15    
{10,1,3,4,6} 13 8 19 5    
{13,2,4,5,7} 11 1 6 10 14    
{7,1,2,3,5} 10 16    
{12,1,3,4,6} 2 16 10 15    
{10,1,2,4,5} 12 16 20 9 14 3    
{9,1,2,3,5} 14 4 20 19    
{10,3,4,5,6} 2 1    
{12,1,2,3,4} 7 6 17 16 10    
{16,1,7,12,13} 11 9 15 3 2 4 5 8 6    
{3,1,2,4,5} 10 18    
{19,1,2,3,4} 17 6 5 9    
{19,1,4,5,6} 16 3 2    
{17,2,4,5,8} 1 19 6 3 20 7    
{1,2,3,4,6} 19 5 10    
{6,1,2,3,7} 9 5 20 13 10 4    
{14,1,2,3,4} 12 9    
{11,1,2,3,4}    
{15,1,3,4,5} 7 12 14 2 13    
{14,1,2,3,4} 6 7 16    
