20
{3,4,5,6,7} 15 14 10 12    
{17,1,4,5,6} 3 14 20 12 11    
{2,6,7,8,10} 1 9 5 20 4    
{11,1,2,5,6} 14 12 9 10 3 7 18 17    
{18,1,2,4,6} 3    
{7,1,2,3,4} 19 20    
{6,1,2,3,5} 17 19 11 13 4    
{13,1,2,3,4} 11 19 18 10    
{13,1,2,5,6} 4 12 3 20 16    
{1,2,3,5,6} 16 12 8 4    
{12,1,3,5,6} 8 4 7 2    
{4,3,5,6,7} 17 11 10 9 18 2 1 15    
{17,1,2,3,4} 14 8 7 9    
{4,3,5,6,7} 2 17 18 1 13    
{1,2,3,4,5} 12 17 20    
{10,1,2,3,4} 9 17    
{13,1,3,5,6} 16 4 7 14 20 15 12 2    
{8,1,2,3,6} 4 19 5 14 12    
{6,1,2,3,4} 8 18 7    
{9,1,4,5,7} 3 15 6 2 17    
